,L
839,0.8310079036051033
840,0.7351104677076675
841,0.7254401380373378
842,0.6440481966453963
843,0.7850738376710374
844,0.7069053395025392
845,0.8479309805281802
846,0.6142313468285466
847,0.7689566215538212
848,0.8414840940812939
849,0.7439749365721363
850,0.8809712735684733
851,0.6843412369384366
852,0.815696548293748
853,0.6174547900519897
854,0.7028760354732352
855,0.7109346435318432
856,0.7496159622131618
857,0.661777134374334
858,0.6875646801618799
859,0.6222899548871547
860,0.7504218230190228
861,0.7794328120300117
862,0.7681507607479604
863,0.6206782332754329
864,0.7754035080007077
865,0.724634277231477
866,0.7858796984768982
867,0.6827295153267151
868,0.7093229219201217
869,0.578773471370671
870,0.7302753028725025
871,0.5908613834585831
872,0.5183339109311106
873,0.5763558889530888
874,0.7270518596490593
875,0.6239016764988762
876,0.7093229219201217
877,0.6077844603816601
878,0.7576745702717699
879,0.6182606508578506
880,0.7874914200886197
881,0.7552569878541876
882,0.7375280501252498
883,0.8729126655098652
884,0.7302753028725025
885,0.8519602845574842
886,0.6843412369384366
887,0.8100555226527223
888,0.7254401380373378
889,0.6964291490263487
890,0.7189932515904512
891,0.7020701746673744
892,0.724634277231477
893,0.6674181600153598
894,0.6722533248505246
895,0.6698357424329421
896,0.7222166948138945
897,0.6658064384036381
898,0.8237551563523561
899,0.8108613834585833
900,0.6698357424329421
901,0.8019969145941143
902,0.6085903211875209
903,0.7020701746673744
904,0.6408247534219532
905,0.65774783034503
906,0.6384071710043707
907,0.5562093688065685
908,0.6077844603816601
909,0.7004584530556527
910,0.6899822625794624
911,0.7802386728358724
912,0.6182606508578506
913,0.7052936178908177
914,0.5997258523230521
915,0.6795060721032719
916,0.7069053395025392
917,0.7480042406014403
918,0.7842679768651767
919,0.6029492955464953
920,0.7665390391362389
921,0.8148906874878873
922,0.7359163285135283
923,0.8551837277809274
924,0.6819236545208541
925,0.80763794023514
926,0.5175280501252498
927,0.6569419695391693
928,0.6263192589164587
929,0.6174547900519897
930,0.7399456325428323
931,0.6126196252168249
932,0.7036818962790959
933,0.7254401380373378
934,0.6859529585501584
935,0.6085903211875209
936,0.7431690757662756
937,0.7463925189897188
938,0.6819236545208541
939,0.8310079036051033
940,0.4611177937149934
941,0.5997258523230521
942,0.6690298816270813
943,0.6085903211875209
944,0.5368687094659091
945,0.4844877570849567
946,0.6239016764988762
947,0.578773471370671
948,0.5763558889530888
949,0.5691031417003415
950,0.5578210904182902
951,0.5022166948138945
952,0.5481507607479604
953,0.5836086362058358
954,0.5610445336417335
955,0.5682972808944805
956,0.5755500281472278
957,0.5892496618468616
958,0.5795793321765318
959,0.578773471370671
960,0.5884438010410008
961,0.5803851929823928
962,0.574744167341367
963,0.5545976471948469
964,0.5836086362058358
965,0.5699090025062022
966,0.5344511270483269
967,0.5441214567186564
968,0.5594328120300117
969,0.5529859255831252
970,0.5860262186234183
971,0.5819969145941143
972,0.5554035080007077
973,0.5376745702717699
974,0.5392862918834916
975,0.566685559282759
