V_SWEEP ,(i("/FWR/iout" ?result "dc") * -1) (A)
134.4E-3,31.50E-9
134.8E-3,31.53E-9
135.2E-3,31.56E-9
135.6E-3,31.59E-9
136.0E-3,31.62E-9
136.4E-3,31.65E-9
136.8E-3,31.67E-9
137.2E-3,31.70E-9
137.6E-3,31.73E-9
138.0E-3,31.76E-9
138.4E-3,31.79E-9
138.8E-3,31.81E-9
139.2E-3,31.84E-9
139.6E-3,31.87E-9
140.0E-3,31.89E-9
140.4E-3,31.92E-9
140.8E-3,31.95E-9
141.2E-3,31.97E-9
141.6E-3,32.00E-9
142.0E-3,32.02E-9
142.4E-3,32.05E-9
142.8E-3,32.07E-9
143.2E-3,32.10E-9
143.6E-3,32.12E-9
144.0E-3,32.15E-9
144.4E-3,32.17E-9
144.8E-3,32.20E-9
145.2E-3,32.22E-9
145.6E-3,32.24E-9
146.0E-3,32.27E-9
146.4E-3,32.29E-9
146.8E-3,32.31E-9
147.2E-3,32.34E-9
147.6E-3,32.36E-9
148.0E-3,32.38E-9
148.4E-3,32.40E-9
148.8E-3,32.43E-9
149.2E-3,32.45E-9
149.6E-3,32.47E-9
150.0E-3,32.49E-9
150.4E-3,32.51E-9
150.8E-3,32.53E-9
151.2E-3,32.56E-9
151.6E-3,32.58E-9
152.0E-3,32.60E-9
152.4E-3,32.62E-9
152.8E-3,32.64E-9
153.2E-3,32.66E-9
153.6E-3,32.68E-9
154.0E-3,32.70E-9
154.4E-3,32.72E-9
154.8E-3,32.74E-9
155.2E-3,32.76E-9
155.6E-3,32.78E-9
156.0E-3,32.79E-9
156.4E-3,32.81E-9
156.8E-3,32.83E-9
157.2E-3,32.85E-9
157.6E-3,32.87E-9
158.0E-3,32.89E-9
158.4E-3,32.91E-9
158.8E-3,32.92E-9
159.2E-3,32.94E-9
159.6E-3,32.96E-9
160.0E-3,32.98E-9
160.4E-3,32.99E-9
160.8E-3,33.01E-9
161.2E-3,33.03E-9
161.6E-3,33.04E-9
162.0E-3,33.06E-9
162.4E-3,33.08E-9
162.8E-3,33.09E-9
163.2E-3,33.11E-9
163.6E-3,33.13E-9
164.0E-3,33.14E-9
164.4E-3,33.16E-9
164.8E-3,33.17E-9
165.2E-3,33.19E-9
165.6E-3,33.21E-9
166.0E-3,33.22E-9
166.4E-3,33.24E-9
166.8E-3,33.25E-9
167.2E-3,33.27E-9
167.6E-3,33.28E-9
168.0E-3,33.30E-9
168.4E-3,33.31E-9
168.8E-3,33.32E-9
169.2E-3,33.34E-9
169.6E-3,33.35E-9
170.0E-3,33.37E-9
170.4E-3,33.38E-9
170.8E-3,33.39E-9
171.2E-3,33.41E-9
171.6E-3,33.42E-9
172.0E-3,33.44E-9
172.4E-3,33.45E-9
172.8E-3,33.46E-9
173.2E-3,33.48E-9
173.6E-3,33.49E-9
174.0E-3,33.50E-9
174.4E-3,33.51E-9
174.8E-3,33.53E-9
175.2E-3,33.54E-9
175.6E-3,33.55E-9
176.0E-3,33.56E-9
176.4E-3,33.58E-9
176.8E-3,33.59E-9
177.2E-3,33.60E-9
177.6E-3,33.61E-9
178.0E-3,33.62E-9
178.4E-3,33.64E-9
178.8E-3,33.65E-9
179.2E-3,33.66E-9
179.6E-3,33.67E-9
180.0E-3,33.68E-9
180.4E-3,33.69E-9
180.8E-3,33.70E-9
181.2E-3,33.71E-9
