V_SWEEP ,i("/GM/iout" ?result "dc") (A)
67.60E-3,19.00E-9
68.00E-3,19.08E-9
68.40E-3,19.16E-9
68.80E-3,19.25E-9
69.20E-3,19.33E-9
69.60E-3,19.41E-9
70.00E-3,19.49E-9
70.40E-3,19.57E-9
70.80E-3,19.65E-9
71.20E-3,19.73E-9
71.60E-3,19.81E-9
72.00E-3,19.89E-9
72.40E-3,19.96E-9
72.80E-3,20.04E-9
73.20E-3,20.12E-9
73.60E-3,20.19E-9
74.00E-3,20.27E-9
74.40E-3,20.35E-9
74.80E-3,20.42E-9
75.20E-3,20.50E-9
75.60E-3,20.57E-9
76.00E-3,20.65E-9
76.40E-3,20.72E-9
76.80E-3,20.79E-9
77.20E-3,20.87E-9
77.60E-3,20.94E-9
78.00E-3,21.01E-9
78.40E-3,21.08E-9
78.80E-3,21.15E-9
79.20E-3,21.22E-9
79.60E-3,21.29E-9
80.00E-3,21.36E-9
80.40E-3,21.43E-9
80.80E-3,21.50E-9
81.20E-3,21.57E-9
81.60E-3,21.64E-9
82.00E-3,21.71E-9
82.40E-3,21.78E-9
82.80E-3,21.84E-9
83.20E-3,21.91E-9
83.60E-3,21.98E-9
84.00E-3,22.04E-9
84.40E-3,22.11E-9
84.80E-3,22.17E-9
85.20E-3,22.24E-9
85.60E-3,22.30E-9
86.00E-3,22.37E-9
86.40E-3,22.43E-9
86.80E-3,22.49E-9
87.20E-3,22.55E-9
87.60E-3,22.62E-9
88.00E-3,22.68E-9
88.40E-3,22.74E-9
88.80E-3,22.80E-9
89.20E-3,22.86E-9
89.60E-3,22.92E-9
90.00E-3,22.98E-9
90.40E-3,23.04E-9
90.80E-3,23.10E-9
91.20E-3,23.16E-9
91.60E-3,23.22E-9
92.00E-3,23.28E-9
92.40E-3,23.33E-9
92.80E-3,23.39E-9
93.20E-3,23.45E-9
93.60E-3,23.51E-9
94.00E-3,23.56E-9
94.40E-3,23.62E-9
94.80E-3,23.67E-9
95.20E-3,23.73E-9
95.60E-3,23.78E-9
96.00E-3,23.84E-9
96.40E-3,23.89E-9
96.80E-3,23.95E-9
97.20E-3,24.00E-9
97.60E-3,24.05E-9
98.00E-3,24.10E-9
98.40E-3,24.16E-9
98.80E-3,24.21E-9
99.20E-3,24.26E-9
99.60E-3,24.31E-9
100.0E-3,24.36E-9
100.4E-3,24.41E-9
100.8E-3,24.46E-9
101.2E-3,24.51E-9
101.6E-3,24.56E-9
102.0E-3,24.61E-9
102.4E-3,24.66E-9
102.8E-3,24.71E-9
103.2E-3,24.76E-9
103.6E-3,24.80E-9
104.0E-3,24.85E-9
104.4E-3,24.90E-9
104.8E-3,24.94E-9
105.2E-3,24.99E-9
105.6E-3,25.04E-9
106.0E-3,25.08E-9
106.4E-3,25.13E-9
106.8E-3,25.17E-9
107.2E-3,25.22E-9
107.6E-3,25.26E-9
108.0E-3,25.31E-9
108.4E-3,25.35E-9
108.8E-3,25.39E-9
109.2E-3,25.44E-9
109.6E-3,25.48E-9
110.0E-3,25.52E-9
110.4E-3,25.57E-9
110.8E-3,25.61E-9
111.2E-3,25.65E-9
111.6E-3,25.69E-9
112.0E-3,25.73E-9
112.4E-3,25.77E-9
112.8E-3,25.81E-9
113.2E-3,25.85E-9
113.6E-3,25.89E-9
114.0E-3,25.93E-9
114.4E-3,25.97E-9
114.8E-3,26.01E-9
115.2E-3,26.05E-9
115.6E-3,26.09E-9
116.0E-3,26.13E-9
116.4E-3,26.16E-9
116.8E-3,26.20E-9
117.2E-3,26.24E-9
117.6E-3,26.28E-9
118.0E-3,26.31E-9
118.4E-3,26.35E-9
118.8E-3,26.38E-9
119.2E-3,26.42E-9
119.6E-3,26.46E-9
120.0E-3,26.49E-9
120.4E-3,26.53E-9
