vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y
469.5400000000001,-5.99302791654446,469.5400000000001,0.1039022116281574,929.5400000000002,0.09947721789155635,1849.54,-0.0187788132916122,1849.54,2.057426962371026,1849.54,-2.880126517850114,1849.54,-8.887499537786674,1849.54,-14.28491753870497
489.5200000000002,-6.366410611553847,489.5200000000002,-0.2400740576619106,969.5200000000002,-0.2457758538119562,1929.52,-0.3636886099641936,1929.52,2.175260228047656,1929.52,-2.515505083387482,1929.52,-8.514177625365392,1929.52,-13.91649166022704
509.5000000000002,-6.724331439379307,509.5000000000002,-0.5775634966122023,1009.5,-0.5847701078571852,2009.5,-0.7023953403824819,2009.5,2.252767994347586,2009.5,-2.168968578524512,2009.5,-8.155670305521815,2009.5,-13.56272086926593
529.4800000000001,-7.067988884713646,529.4800000000001,-0.907495420846297,1049.48,-0.9163403519170105,2089.48,-1.033727881637387,2089.48,2.293115759560705,2089.48,-1.839716280437406,2089.48,-7.810844259381009,2089.48,-13.22247026868242
549.4600000000002,-7.398455318822577,549.4600000000002,-1.229248325808226,1089.46,-1.239799204141836,2169.46,-1.356993377039651,2169.46,2.299683101331032,2169.46,-1.527082546059773,2169.46,-7.478697293572797,2169.46,-12.89473123510555
569.4400000000002,-7.716692155630305,569.4400000000002,-1.542515297191585,1129.44,-1.554794305685583,2249.44,-1.671834450763152,2249.44,2.275953187679742,2249.44,-1.230514553814395,2249.44,-7.158339615349641,2249.44,-12.57860347435019
589.4200000000002,-8.023563332162855,589.4200000000002,-1.847207425118431,1169.42,-1.861205809833585,2329.42,-1.978126694785851,2329.42,2.22540578809111,2329.42,-0.9495529923635002,2329.42,-6.848978361619792,2329.42,-12.27328014704255
609.4000000000002,-8.319847147102392,609.4000000000002,-2.14338480741741,1209.4,-2.159073141701209,2409.4,-2.275905416657983,2409.4,2.151423631656089,2409.4,-0.6838150677845705,2409.4,-6.549904726115841,2409.4,-11.97803545697255
629.3800000000002,-8.606246582825566,629.3800000000002,-2.431207425330494,1249.38,-2.448542849873278,2489.38,-2.565313470126813,2489.38,2.057217877359997,2489.38,-0.4329793719703506,2489.38,-6.260483177797521,2489.38,-11.69221423001203
649.3600000000002,-8.883398271126454,649.3600000000002,-2.710900272187399,1289.36,-2.729831585340803,2569.36,-2.846564206571562,2569.36,1.945774724975859,2569.36,-0.1967722879330666,2569.36,-5.980142375057364,2569.36,-11.41522311347571
669.3400000000003,-9.151880268378122,669.3400000000003,-2.982728683660619,1329.34,-3.003199904930538,2649.34,-3.119915247204923,2649.34,1.819822330677147,2649.34,0.02504428843500658,2649.34,-5.708367464604711,2649.34,-11.14652310346463
689.3200000000003,-9.412218797156353,689.3200000000003,-3.246980964502736,1369.32,-3.268933813705554,2729.32,-3.385649992803126,2729.32,1.681815369153699,2729.32,0.232684049544507,2729.32,-5.444693518268757,2729.32,-10.88562316736154
709.3000000000003,-9.66489409642741,709.3000000000003,-3.503956233695357,1409.3,-3.527331839860721,2809.3,-3.644064666155856,2809.3,1.533933711243438,2809.3,0.4263462774403609,2809.3,-5.188699910536441,2809.3,-10.63207477480939
729.2800000000003,-9.910345505569474,729.2800000000003,-3.753956002285338,1449.28,-3.77869606538108,2889.28,-3.895459311612936,2889.28,1.378091534494361,2889.28,0.6062247765923524,2889.28,-4.940005478140643,2889.28,-10.38546718651844
749.2600000000003,-10.14897589093282,749.2600000000003,-3.99727842094062,1489.26,-4.023325985083187,2969.26,-4.140131625016286,2969.26,1.215953494735993,2969.26,0.7725157381405557,2969.26,-4.698264333145693,2969.26,-10.14542337855034
769.2400000000004,-10.38115550836824,769.2400000000004,-4.234214435650442,1529.24,-4.261514386857759,3049.24,-4.37837280718182,3049.24,1.048955134793581,3049.24,0.9254245175114978,3049.24,-4.463162224732404,3049.24,-9.911596502125066
789.2200000000004,-10.60722538156475,789.2200000000004,-4.465045304978648,1569.22,-4.493544674180376,3129.22,-4.610464862122314,3129.22,0.8783253275903558,3129.22,1.065171301182578,3129.22,-4.234413363743091,3129.22,-9.683666796835707
809.2000000000004,-10.82750026420818,809.2000000000004,-4.690041085870995,1609.200000000001,-4.719689214903101,3209.2,-4.836678924003185,3209.2,0.7051091421889506,3209.2,1.191995642704156,3209.2,-4.011757639116416,3209.2,-9.461338889454243
829.1800000000004,-11.04227124380877,829.1800000000004,-4.909459804993832,1649.180000000001,-4.940208416921204,3289.18,-5.057274313314456,3289.18,0.5301900296639405,3289.18,1.306159861119233,3289.18,-3.794958167458799,3289.18,-9.24433942203728
849.1600000000004,-11.25180803638731,849.1600000000004,-5.123547111533165,1689.160000000001,-5.155350314934037,3369.16,-5.272498106316725,3369.16,0.3543106323920702,3369.16,1.407951314557074,3369.16,-3.583799126800867,3369.16,-9.032414962384816
869.1400000000004,-11.45636101386872,869.1400000000004,-5.332536264216961,1729.140000000001,-5.365350512669415,3449.14,-5.482585061944803,3449.14,0.1780918275079575,3449.14,1.497683585667364,3449.14,-3.378083833561427,3449.14,-8.825330157519963
889.1200000000005,-11.65616299982763,889.1200000000005,-5.536648346346206,1769.120000000001,-5.570432368324598,3529.12,-5.687757793729497,3529.12,0.002049835562728163,3529.12,1.575696641232755,3529.12,-3.177633028265492,3529.12,-8.622866097094551
909.1000000000005,-11.85143086399209,909.1000000000005,-5.73609263230618,1809.100000000001,-5.770807342349284,3609.1,-5.888227105673892,3609.1,-0.173388624679216,3609.1,1.642356053331951,3609.1,-2.982283340928533,3609.1,-8.424818858759176
929.0800000000005,-12.04236694149194,929.0800000000005,-5.931067050559081,1849.080000000001,-5.966675449434481,3689.08,-6.084192433769262,3689.08,-0.3478730584555392,3689.08,1.698051391651316,3689.08,-2.791885911456629,3689.08,-8.230998211779903
949.0600000000005,-12.22916029910606,949.0600000000005,-6.121758703762502,1889.060000000001,-6.158225773083835,3769.06,-6.275842351361803,3769.06,-0.5211176610332833,3769.06,1.743193914204397,3769.06,-2.606305144100244,3769.06,-8.041226458708534
969.0400000000005,-12.41198786760838,969.0400000000005,-6.30834441803926,1929.040000000001,-6.345637013152282,3849.04,-6.463355108604716,3849.04,-0.6928913658164005,3849.04,1.778213695600021,3849.04,-2.425417578081623,3849.04,-7.855337397851962
989.0200000000006,-12.59101545664318,989.0200000000006,-6.490991301709974,1969.020000000001,-6.529078045476396,3929.02,-6.646899184984971,3929.02,-0.8630093030173001,3929.02,1.803556337485907,3929.02,-2.249110859104118,3929.02,-7.673175391746687
1009.000000000001,-12.76639866629651,1009.000000000001,-6.669857299830855,2009.000000000001,-6.70870847908132,4009,-6.826633840289218,4009,-1.031325499619272,4009,1.81967940486726,4009,-2.077282798637738,4009,-7.494594528912312
1028.98,-12.9382837076081,1028.98,-6.845091735264646,2048.98,-6.884679201073837,4088.98,-7.002709654011962,4088.98,-1.197726660820656,4088.98,1.82704872516531,4088.98,-1.909840509730589,4088.98,-7.319457867901967
1048.96,-13.10680814263139,1048.96,-7.016835830193624,2088.96,-7.057132902686752,4168.96,-7.175269046577119,4168.96,-1.362126886515663,4168.96,1.826134675058631,4168.96,-1.746699609678958,4168.96,-7.147636754144161
1068.940000000001,-13.27210155325333,1068.940000000001,-7.185223204282231,2128.940000000001,-7.226204582365114,4248.94,-7.344446778181235,4248.94,-1.524463191409988,4248.94,1.817408564529491,4248.94,-1.587783481247655,4248.94,-6.97901020132433
